year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	17	17	35	19	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	17	17	35	20	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	17	17	35	20	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	17	17	35	21	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	17	17	35	22	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	17	17	35	23	Stormrunners	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	19	05	48	42	frozenhammerz	K9us	Oak Planks	20.0	1280.0	64	world	[15, 72, -13]
2018	09	19	05	56	13	frozenhammerz	K9us	Oak Planks	20.0	1280.0	64	world	[15, 72, -13]
2018	09	19	06	07	20	frozenhammerz	K9us	Oak Planks	20.0	1280.0	64	world	[15, 72, -13]
2018	09	20	17	37	41	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	20	17	37	42	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	20	18	37	38	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	20	18	37	40	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	21	10	37	54	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	21	10	37	55	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	21	10	37	55	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	09	21	10	37	56	frozenhammerz	K9us	Oak Planks	20.0	1160.0	58	world	[15, 72, -13]
2018	09	21	21	39	25	frozenhammerz	K9us	Oak Planks	20.0	20.0	1	world	[15, 72, -13]
2018	10	01	06	08	14	frozenhammerz	K9us	Oak Planks	19.0	1216.0	64	world	[15, 72, -13]
2018	10	01	06	08	14	frozenhammerz	K9us	Oak Planks	19.0	1216.0	64	world	[15, 72, -13]
2018	10	01	06	08	15	frozenhammerz	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -13]
2018	10	14	20	35	42	Butokuden	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -13]
2018	10	14	20	35	43	Butokuden	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -13]
2018	10	14	20	35	44	Butokuden	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -13]
2018	10	14	20	35	45	Butokuden	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -13]
2018	10	19	23	06	17	Mr_Digs	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	19	23	06	17	Mr_Digs	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	28	18	52	21	frozenhammerz	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	28	18	52	22	frozenhammerz	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	30	14	31	36	ersi	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	30	14	31	36	ersi	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	10	30	14	31	37	ersi	K9us	Oak Planks	25.0	25.0	1	world	[15, 72, -13]
2018	11	04	02	29	50	NorraLigan	Haksndot	Oak Planks	25.0	25.0	1	world_nether	[-26, 116, -36]
2018	11	17	01	06	21	frozenhammerz	K9us	Oak Planks	25.0	1600.0	64	world	[15, 72, -14]
2018	11	17	01	06	21	frozenhammerz	K9us	Oak Planks	25.0	550.0	22	world	[15, 72, -14]
2019	01	14	06	37	41	freakdown	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -14]
2019	01	14	06	37	41	freakdown	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -14]
2019	02	03	22	55	22	freakdown	K9us	Oak Planks	19.0	19.0	1	world	[15, 72, -14]
