year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	28	19	22	41	FlyingDuckFace	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2018	11	28	19	22	42	FlyingDuckFace	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2018	11	28	19	22	43	FlyingDuckFace	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2018	11	28	19	22	43	FlyingDuckFace	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2018	11	28	19	22	44	FlyingDuckFace	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2018	11	28	19	22	45	FlyingDuckFace	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2018	11	28	19	22	46	FlyingDuckFace	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2018	11	28	19	22	47	FlyingDuckFace	Phantom_Ark	Redstone	4.0	132.0	33	world	[-185, 65, 334]
2018	12	11	17	41	04	Aesop	jandaris14	Redstone	4.0	40.0	10	world	[-61, 65, -299]
2019	02	06	15	30	44	K9us	Phantom_Ark	Redstone	4.0	4.0	1	world	[-185, 65, 334]
2019	02	06	15	30	45	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	47	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	48	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	48	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	49	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	50	K9us	Phantom_Ark	Redstone	4.0	256.0	64	world	[-185, 65, 334]
2019	02	06	15	30	51	K9us	Phantom_Ark	Redstone	4.0	124.0	31	world	[-185, 65, 334]
2019	03	17	00	14	41	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	42	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	43	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	43	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	44	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	45	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	46	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	46	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	00	14	49	Lego_UOE	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	22	03	19	Colonel_Ruff	ezrone	Redstone	15.0	15.0	1	world	[258, 80, 156]
2019	03	17	22	03	23	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	24	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	26	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	26	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	27	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	28	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	28	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	29	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	29	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	17	22	03	32	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[258, 80, 156]
2019	03	26	18	12	10	Stormrunners	ezrone	Redstone	15.0	15.0	1	world	[259, 80, 155]
2019	03	26	18	12	11	Stormrunners	ezrone	Redstone	15.0	15.0	1	world	[259, 80, 155]
2019	03	26	18	12	12	Stormrunners	ezrone	Redstone	15.0	15.0	1	world	[259, 80, 155]
2019	03	29	00	26	22	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	23	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	24	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	25	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	25	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	26	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	03	29	00	26	27	coconewell92	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	06	17	18	19	Cesium_Knight	Vivifoxx	Redstone	2.5	160.0	64	world	[318, 86, 26]
2019	04	06	17	18	20	Cesium_Knight	Vivifoxx	Redstone	2.5	50.0	20	world	[318, 86, 26]
2019	04	28	13	32	07	Colonel_Ruff	ezrone	Redstone	15.0	15.0	1	world	[259, 80, 155]
2019	04	28	13	32	07	Colonel_Ruff	ezrone	Redstone	15.0	15.0	1	world	[259, 80, 155]
2019	04	28	13	32	09	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	10	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	10	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	11	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	12	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	12	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	13	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	14	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	15	Colonel_Ruff	ezrone	Redstone	15.0	960.0	64	world	[259, 80, 155]
2019	04	28	13	32	15	Colonel_Ruff	ezrone	Redstone	15.0	930.0	62	world	[259, 80, 155]
