year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	08	08	47	42	BredeBertil	K9us	Diamond Pickaxe#S	270000.0	270000.0	1	world	[39, 72, -21]
2018	09	08	19	55	07	NullCase	K9us	Diamond Pickaxe#S	270000.0	270000.0	1	world	[39, 72, -21]
2018	09	23	12	57	42	Baskerboss	K9us	Diamond Pickaxe#S	100000.0	100000.0	1	world	[30, 83, -22]
2018	10	12	15	04	28	sharonclaws	TheScrubJay	Diamond Pickaxe#S	80000.0	80000.0	1	world	[-4, 71, 17]
2018	10	12	15	04	32	sharonclaws	TheScrubJay	Diamond Pickaxe#S	80000.0	80000.0	1	world	[-4, 71, 17]
2018	10	17	16	03	20	LightsChaos	TheScrubJay	Diamond Pickaxe#S	80000.0	80000.0	1	world	[-7, 71, 17]
2018	10	19	03	53	25	LightsChaos	TheScrubJay	Diamond Pickaxe#S	80000.0	80000.0	1	world	[-7, 71, 17]
2019	05	02	12	29	49	daboogaoogaman	TheScrubJay	Diamond Pickaxe#S	37000.0	37000.0	1	world	[-14, 65, 15]
2019	05	02	12	29	57	daboogaoogaman	TheScrubJay	Diamond Pickaxe#S	37000.0	37000.0	1	world	[-14, 65, 15]
2019	05	02	12	54	09	daboogaoogaman	TheScrubJay	Diamond Pickaxe#S	37000.0	37000.0	1	world	[-14, 65, 15]
2019	05	20	23	27	47	daboogaoogaman	K9us	Diamond Pickaxe#S	45000.0	45000.0	1	world	[-107, 12, -8]
2019	05	20	23	27	48	daboogaoogaman	K9us	Diamond Pickaxe#S	45000.0	45000.0	1	world	[-107, 12, -8]
