year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	21	13	05	01	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	01	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	02	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	03	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	03	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	15	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	15	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	16	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	16	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	18	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	19	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	21	13	05	20	Shahayhay	steelpanmaster	Glowstone Dust	25.0	100.0	4	world	[1095, 64, -2399]
2018	09	29	09	21	01	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	01	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	02	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	03	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	03	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	04	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	04	Haksndot	NullCase	Glowstone Dust	156.25	10000.0	64	world	[45, 71, 0]
2018	09	29	09	21	05	Haksndot	NullCase	Glowstone Dust	156.25	5625.0	36	world	[45, 71, 0]
2018	11	29	16	27	44	FlyingDuckFace	Phantom_Ark	Glowstone Dust	70.0	70.0	1	world	[-185, 65, 330]
2018	11	29	16	27	46	FlyingDuckFace	Phantom_Ark	Glowstone Dust	70.0	70.0	1	world	[-185, 65, 330]
2018	11	29	16	27	47	FlyingDuckFace	Phantom_Ark	Glowstone Dust	70.0	70.0	1	world	[-185, 65, 330]
