year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	14	20	17	42	cmanley1981	K9us	Dirt	2.0	2.0	1	world	[50, 71, -22]
2018	10	14	20	17	49	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	49	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	50	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	51	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	54	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	55	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	17	55	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	20	18	05	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	44	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	45	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	46	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	47	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	48	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	49	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	49	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	51	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	54	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	55	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	37	57	cmanley1981	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	10	14	21	45	16	cmanley1981	K9us	Dirt	2.0	82.0	41	world	[50, 71, -22]
2018	10	14	22	15	44	cmanley1981	AteUrC00ki35	Dirt	2.8125	45.0	16	world	[-342, 70, 74]
2018	10	14	22	15	46	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	47	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	48	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	48	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	49	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	50	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	50	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	58	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	59	cmanley1981	AteUrC00ki35	Dirt	2.8125	180.0	64	world	[-342, 70, 74]
2018	10	14	22	15	59	cmanley1981	AteUrC00ki35	Dirt	2.8125	135.0	48	world	[-342, 70, 74]
2018	10	14	22	22	11	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	13	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	14	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	15	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	15	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	16	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	16	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	17	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	18	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	18	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	19	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	20	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	21	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	22	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	23	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	24	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	25	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	26	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	10	14	22	22	27	cmanley1981	Shahayhay	Dirt	2.5	160.0	64	world	[94, 61, -296]
2018	11	10	10	44	21	ersi	K9us	Dirt	2.0	36.0	18	world	[50, 71, -22]
2018	11	18	23	29	01	DoctorPotts	Phantom_Ark	Dirt	0.15625	10.0	64	world	[-192, 64, 322]
2018	11	25	17	21	33	Remixster	Phantom_Ark	Dirt	0.15625	10.0	64	world	[-192, 64, 322]
2018	11	25	17	21	34	Remixster	Phantom_Ark	Dirt	0.15625	10.0	64	world	[-192, 64, 322]
2018	11	26	04	39	20	NorraLigan	K9us	Dirt	2.0	2.0	1	world	[50, 71, -22]
2018	11	26	04	39	21	NorraLigan	K9us	Dirt	2.0	2.0	1	world	[50, 71, -22]
2018	11	26	04	39	26	NorraLigan	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	11	26	04	39	30	NorraLigan	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	11	26	04	39	32	NorraLigan	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	11	26	05	50	46	NorraLigan	K9us	Dirt	2.0	128.0	64	world	[50, 71, -22]
2018	11	30	16	01	01	NorraLigan	Phantom_Ark	Dirt	0.15625	10.0	64	world	[-192, 64, 322]
2018	12	05	22	48	40	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	40	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	41	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	42	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	42	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	45	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	46	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	47	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	48	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	49	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	50	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	50	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	53	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	53	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	54	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	55	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	55	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	56	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	56	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	57	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	57	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
2018	12	05	22	48	58	Captain_Handsome	cmanley1981	Dirt	1.0	1.0	1	world	[103, 88, -9]
