year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	10	13	15	48	Aewheros	AteUrC00ki35	Bone	5.0	320.0	64	world	[-351, 74, 83]
2018	11	10	13	15	50	Aewheros	AteUrC00ki35	Bone	5.0	150.0	30	world	[-351, 74, 83]
2019	02	05	22	47	49	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	50	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	51	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	53	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	54	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	54	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	57	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	57	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	59	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	47	59	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	05	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	06	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	07	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	09	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	10	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	10	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	11	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	12	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	12	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	02	05	22	48	26	coconewell92	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	03	05	06	45	17	K9us	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	03	13	19	23	49	Aewheros	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	04	14	19	09	12	coconewell92	Vivifoxx	Bone	5.0	270.0	54	world	[308, 80, 26]
2019	04	22	11	08	16	frozenhammerz	Vivifoxx	Bone	5.0	5.0	1	world	[308, 80, 26]
2019	04	22	11	08	17	frozenhammerz	Vivifoxx	Bone	5.0	120.0	24	world	[308, 80, 26]
2019	04	22	14	49	52	frozenhammerz	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	04	22	14	49	53	frozenhammerz	freakdown	Bone	7.8125	500.0	64	world	[17, 71, -42]
2019	04	22	14	50	19	frozenhammerz	freakdown	Bone	7.8125	500.0	64	world	[17, 72, -42]
2019	04	22	14	50	20	frozenhammerz	freakdown	Bone	7.8125	500.0	64	world	[17, 72, -42]
