year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	09	11	39	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	09	11	43	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	09	11	43	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	09	11	44	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	49	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	50	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	51	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	52	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	52	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	53	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	01	54	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	10	02	02	Heronproject	Remixster	Paper	5.0	5.0	1	world	[50, 70, 12]
2018	09	01	13	27	14	Heronproject	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	01	13	27	17	Heronproject	Remixster	Paper	5.0	35.0	7	world	[50, 70, 12]
2018	09	05	13	09	22	roesterberg	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	05	13	09	23	roesterberg	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	51	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	51	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	52	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	53	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	53	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	54	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	06	13	01	54	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	07	14	46	17	spfoia	Remixster	Paper	5.0	320.0	64	world	[50, 70, 12]
2018	09	07	14	46	21	spfoia	Remixster	Paper	5.0	320.0	64	world	[50, 70, 12]
2018	09	07	14	46	22	spfoia	Remixster	Paper	5.0	320.0	64	world	[50, 70, 12]
2018	09	09	10	09	38	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	10	09	39	spfoia	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	10	09	40	spfoia	Remixster	Paper	5.0	320.0	64	world	[50, 70, 12]
2018	09	09	23	06	35	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	06	36	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	06	37	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	06	57	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	06	59	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	06	59	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	07	01	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	07	02	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
2018	09	09	23	07	04	33_Shikamaru	Remixster	Paper	5.0	15.0	3	world	[50, 70, 12]
2018	09	09	23	14	24	33_Shikamaru	Remixster	Paper	5.0	40.0	8	world	[50, 70, 12]
