year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	04	12	28	35	AnarchoMax	Srood	Sugar Cane	0.46875	30.0	64	world	[38, 77, -145]
2018	09	04	12	28	41	AnarchoMax	Srood	Sugar Cane	0.46875	30.0	64	world	[38, 77, -145]
2018	09	07	18	01	08	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	09	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	09	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	10	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	11	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	11	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	12	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	12	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	13	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	14	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	01	14	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	36	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	37	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	37	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	38	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	39	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	40	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	40	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	41	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	42	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	43	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	07	18	02	44	sharonclaws	LightsChaos	Sugar Cane	4.0625	260.0	64	world	[23, 69, 39]
2018	09	08	12	58	09	spfoia	LightsChaos	Sugar Cane	4.0625	65.0	16	world	[23, 69, 39]
